rowid,dataset,_link,_link_activity,_link_activity_label,prefix,iatiidentifier,reportingorg_ref,ref,locationreach_code,locationreach_codename,name_narrative,description_narrative,activitydescription_narrative,administrative,point_srsName,point_pos,exactness_code,exactness_codename,locationclass,locationclass_code,locationclass_codename,featuredesignation_code,featuredesignation_codename,percentage,recipientcountry_codename,Sector
533992,iadb-gy,289833.location.0,289833,289833,iadb,XI-IATI-IADB-GY-L1064,XI-IATI-IADB,,1,Activity,"Guyana, 229 SOUTH ROAD, LACYTOWN, GEORGETOWN",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"6.809278835539, -58.163458284694",2,Approximate,,,,PPLC,capital of a political entity,,Guyana,TRADE
533993,iadb-gy,289835.location.0,289835,289835,iadb,XI-IATI-IADB-GY-L1083,XI-IATI-IADB,,1,Activity,"Guyana, 49 MAIN & URQUHART STREETS,, GEORGETOWN",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"55.059157380535, -3.580704088809",2,Approximate,,,,PPLC,capital of a political entity,,Guyana,REFORM / MODERNIZATION OF THE STATE
534001,iadb-br,289632.location.0,289632,289632,iadb,XI-IATI-IADB-BR-L1503,XI-IATI-IADB,,1,Activity,"Brazil,Ba",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-12.285251, -41.9294776",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,TRANSPORT
534002,iadb-br,289632.location.1,289632,289632,iadb,XI-IATI-IADB-BR-L1503,XI-IATI-IADB,,1,Activity,"Brazil,Bras",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-23.5453263, -46.6164435",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,TRANSPORT
534003,iadb-br,289632.location.2,289632,289632,iadb,XI-IATI-IADB-BR-L1503,XI-IATI-IADB,,1,Activity,"Brazil,Mel",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-6.3973496, -39.5745518",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,TRANSPORT
534005,iadb-br,289763.location.0,289763,289763,iadb,XI-IATI-IADB-BR-L1187,XI-IATI-IADB,,1,Activity,"Brazil,Ba",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"12.4450149, -69.9231155",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,URBAN DEVELOPMENT AND HOUSING
534008,iadb-br,289763.location.1,289763,289763,iadb,XI-IATI-IADB-BR-L1187,XI-IATI-IADB,,1,Activity,"Brazil,Canudos,Novo Hamburgo",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-29.6974207, -51.08226354",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,URBAN DEVELOPMENT AND HOUSING
534009,iadb-br,289763.location.2,289763,289763,iadb,XI-IATI-IADB-BR-L1187,XI-IATI-IADB,,1,Activity,"Brazil,Centro",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-7.017749, -37.945295",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,URBAN DEVELOPMENT AND HOUSING
534010,iadb-br,289763.location.3,289763,289763,iadb,XI-IATI-IADB-BR-L1187,XI-IATI-IADB,,1,Activity,"Brazil,Getúlio Vargas",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-27.8871493, -52.2257967",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,URBAN DEVELOPMENT AND HOUSING
534011,iadb-br,289763.location.4,289763,289763,iadb,XI-IATI-IADB-BR-L1187,XI-IATI-IADB,,1,Activity,"Brazil,Novo Hamburgo",,ES: ,,http://www.opengis.net/def/crs/EPSG/0/4326,"-29.6905705, -51.1429035",2,Approximate,,,,PPLC,capital of a political entity,,Brazil,URBAN DEVELOPMENT AND HOUSING
